16,4,4,5,4,5,5,4,4,4,4,20,3,6,5,4,5,5,4,4,12,3,6,6,5,3
32,4,12,39,4,4,13,9,9,3,4,46,8,5,11,1345,9,6,7,136,5,4,28,33,10,91
48,4,10,12470,1580,32,10,12,119,12,424,100000,106,100,41,40,4,4,100000,6906,3,13,12,14,12,18059
64,1464,4,4,100000,136,160,2769,21,63,18,17,92,211,15,19,18,14,100000,6,100000,16,6,17,13,13
80,24,18,100000,15,100000,208,15,15,80,5,19,15,21030,100000,100000,17,100000,19,17832,26,5,6,100000,100000,100000
96,100000,200,254,100000,53,39,100000,19,100000,18,3362,27,19,100000,22,18,24,25,22,24725,100000,22,100000,6,100000
112,33,186,100000,31,6,100000,32,5,36,8361,100000,48,100000,22,100000,26,88,229,100000,156,23,36,100000,51,11418
128,5,29,100000,100000,328,100000,100000,54,321,100000,26,100000,42,40,100000,100000,100000,449,100000,100000,100000,100000,100000,100000,100000
